;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;HALLIBURTON;1;1;1;1;1;1;1;1;1;1;10;;;;BANK OF AMERICA;10;;CONOCOPHILLIPS;10;;MEDTRONIC;3;;;;;;;;;;;;;;;;;
36;GOLDMAN SACHS GP.;1;1;1;1;1;1;1;1;1;1;10;;;;CITIGROUP;10;;ALTRIA GROUP;10;;WALGREENS BOOTS ALLIANCE;3;;;;;;;;;;;;;;;;;
37;HOME DEPOT;1;1;1;1;1;1;1;1;1;1;10;;;;EMERSON ELECTRIC;10;;COSTCO WHOLESALE;10;;ALLERGAN;4;;;;;;;;;;;;;;;;;
38;BIOGEN;1;1;1;1;1;1;1;1;1;1;10;;;;EXXON MOBIL;10;;PROCTER & GAMBLE;10;;DOWDUPONT;0;;;;;;;;;;;;;;;;;
39;INTEL;1;1;1;1;1;1;1;1;1;1;10;;;;NEXTERA ENERGY;10;;QUALCOMM;10;;KRAFT HEINZ;2;;;;;;;;;;;;;;;;;
40;JOHNSON & JOHNSON;1;1;1;1;1;1;1;1;1;1;10;;;;GENERAL DYNAMICS;10;;US BANCORP;10;;ALPHABET A;2;;;;;;;;;;;;;;;;;
41;BLACKROCK;1;1;1;1;1;1;1;1;1;1;10;;;;GILEAD SCIENCES;10;;RAYTHEON 'B';10;;PAYPAL HOLDINGS;2;;;;;;;;;;;;;;;;;
42;ELI LILLY;1;1;1;1;1;1;1;1;1;1;10;;;;NVIDIA;10;;MERCK & COMPANY;10;;ALPHABET 'C';2;;;;;;;;;;;;;;;;;
43;UNITED PARCEL SER.'B';1;1;1;1;1;1;1;1;1;1;10;;;;GENERAL ELECTRIC;10;;SCHLUMBERGER;10;;CHARTER COMMS.CL.A;10;;;;;;;;;;;;;;;;;
44;LOCKHEED MARTIN;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;LOWE'S COMPANIES;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;MCDONALDS;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;METLIFE;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;CVS HEALTH;1;1;1;1;1;1;1;1;1;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
