"cik";"company";"year";"date";"ARI";"ARI.simple";"ARI.NRI";"Bormuth.MC";"Bormuth.GP";"Coleman";"Coleman.C2";"Coleman.Liau.ECP";"Coleman.Liau.grade";"Coleman.Liau.short";"Dale.Chall";"Dale.Chall.old";"Dale.Chall.PSK";"Danielson.Bryan";"Danielson.Bryan.2";"Dickes.Steiwer";"DRP";"ELF";"Farr.Jenkins.Paterson";"Flesch";"Flesch.PSK";"Flesch.Kincaid";"FOG";"FOG.PSK";"FOG.NRI";"FORCAST";"FORCAST.RGL";"Fucks";"Linsear.Write";"LIW";"nWS";"nWS.2";"nWS.3";"nWS.4";"RIX";"Scrabble";"SMOG";"SMOG.C";"SMOG.simple";"SMOG.de";"Spache";"Spache.old";"Strain";"Traenkle.Bailer";"Traenkle.Bailer.2";"Wheeler.Smith";"meanSentenceLength";"meanWordSyllables";"NCSKEW";"DUVOL";"CRASH_COUNT"
1800;"ABBOTT LABORATORIES";"2008";"20080219";-16,833119446508;-74,1904702491815;-15,6234374930131;-4,46136382717407;-234374339,362167;27,839470392515;27,7904748205038;26,9724476146399;-15,6733914637982;-15,674493282966;2,38873813782637;-12,3058936281144;-10,171526124367;-7,76231738231255;76,0239720705944;-478,300092895813;-546,136382717407;-11,7342995169082;-55,1956781897678;23,4987915022743;-8,21764857312805;-15,978340385648;-19,9812840394319;-9,03492249374856;-7313,72796799517;-12,291922047382;-11,9511142521202;-134,24154589372;-24,9251207729469;-61,2558393733403;-12,4485739215879;-12,784928902882;-11,1329055966536;-11,8017439428377;-8,95954106280193;1,60354655141703;-17,3895613462528;-16,7142878357474;-16,6725420385933;-11,6725420385933;-8,41074342030206;-9,30916819065732;-13,5958333333333;-536,404319445246;-341,284615562004;-117,342995169082;-24,1382850241546;-1,87749230730743;-0,058535274088525;-0,345126725150636;2
1800;"ABBOTT LABORATORIES";"2009";"20090220";-19,45336660373;-79,6144554621064;-16,7445121582912;-6,24099103211615;-641008004,936002;35,3747198954386;32,853692530271;35,0979564532967;-13,4469695399709;-13,4481538170669;3,73035541195481;-11,4739693510326;-9,78116301910115;-8,03496399578211;81,2783665950423;-561,154625451164;-724,099103211615;-14,3259911894273;-64,5985481766859;23,2328611088934;-8,44910925965698;-18,3397070912206;-22,4481676974976;-11,2384930871747;-29590,8091285793;-11,4157302447164;-10,9873032691881;-171,640143171806;-30,3138766519824;-65,2555681533296;-12,3123071022971;-12,773768422972;-11,9703919509962;-13,4116939215406;-10,6382158590308;1,61648121992006;-18,8557303770028;-18,1013244272545;-18,0782649827448;-13,0782649827448;-8,73977713863351;-9,78614817075338;-17,769218061674;-619,751972767411;-304,796190994155;-143,259911894273;-33,494218061674;-1,76838661416676;0,615602907472234;0,298487608679229;3
1800;"ABBOTT LABORATORIES";"2010";"20100219";-18,696849813775;-78,0860806578035;-16,2208263759587;-5,88554602691134;-535638012,042596;34,0949830627263;31,9622999649574;34,5033727508469;-13,609887852777;-13,6110552505548;3,41914341865382;-11,646566900008;-9,86410819951907;-7,91063312421554;80,7374094082511;-541,036932188365;-688,554602691135;-13,8455284552846;-62,7294389042317;24,293255453904;-8,34897354287948;-17,7304441349688;-21,6902341554237;-10,7350994485018;-19658,7447524021;-11,5645368531714;-11,1509905384885;-163,279009608278;-28,5853658536585;-64,0527083882089;-12,1631461914164;-12,5980202991738;-11,6054354813027;-12,9080941265556;-10,2553584626755;1,60793199159186;-18,4007800791211;-17,670591279023;-17,6420710250442;-12,6420710250442;-8,69762324703728;-9,71575719520095;-16,8764966740576;-599,575253566862;-307,657930846513;-138,455284552846;-31,6371027346637;-1,77813339563135;-0,114183139474127;-0,00959904137590591;1
1800;"ABBOTT LABORATORIES";"2011";"20110218";-17,416034812491;-75,3517218964345;-16,1141043502732;-4,6672585468547;-267876021,214212;25,9083146382501;25,7952794914937;26,5497757711722;-15,7892052395957;-15,7903309029725;-0,00983897786118959;-12,6353684010155;-10,4373197758968;-7,89363914338459;76,0311016168019;-492,40434806929;-566,72585468547;-12,6283863368669;-56,2986908684593;20,902662959359;-8,38195088633191;-16,6045589017332;-20,4264244100975;-9,32586434552002;-8179,88685512367;-12,5164750420639;-12,1981225462703;-140,428739693757;-26,0730270906949;-62,8159208121197;-12,7760795780328;-13,0702457979663;-11,3501643411436;-12,0977547071643;-9,4793875147232;1,59967514511781;-17,7142422124328;-17,0211605349162;-16,9838372123038;-11,9838372123038;-8,6501779045256;-9,57526992331052;-14,3302120141343;-550,383513340427;-342,171687897738;-126,283863368669;-25,2014134275618;-1,89542437838848;-0,423469600863459;-0,193379542438099;-3
1800;"ABBOTT LABORATORIES";"2012";"20120221";-17,7137486135544;-75,9322627410832;-16,4313878737223;-4,72192016133838;-277428939,431185;25,6382452459904;25,4921059755025;25,7451588572331;-16,0096734924827;-16,0108095914823;0,513146188745569;-12,5314204331713;-10,3673831476544;-7,97615195108018;75,7095735391695;-498,281585615241;-572,192016133838;-12,8127512923607;-56,5675004549544;19,4350380846681;-8,46695394552191;-16,8742366387908;-20,7267883835236;-9,44438905297287;-8617,32741815049;-12,5478784597686;-12,2326663057454;-142,788627225732;-26,842044801838;-63,9055771260508;-12,9887727309768;-13,2838288799375;-11,5449881389779;-12,3015028506262;-9,78862722573234;1,59597290881046;-17,9277717974033;-17,2230719906516;-17,1885635641451;-12,1885635641451;-8,57204448103065;-9,49701217387537;-14,5874784606548;-556,321124450207;-345,810162465318;-128,127512923607;-25,4629523262493;-1,90963434165708;0,255904934393827;-0,0355459471880084;0
1800;"ABBOTT LABORATORIES";"2013";"20130215";-19,8667313528477;-80,4229702799929;-17,1720019731543;-6,32384005605542;-663892223,32068;33,9114269745211;31,4833731642447;34,127560287939;-13,7128619708636;-13,7140573565124;2,04089700875147;-11,727556448811;-9,97640772968592;-8,15002614396028;80,8989254231423;-569,885506576674;-732,384005605541;-14,8895424836601;-65,041159445456;21,7518382225084;-8,53846912571276;-18,6501726288326;-22,627527548454;-11,3539871688151;-25567,4460261438;-11,585880584358;-11,1744686427938;-175,253921568627;-30,7333333333333;-66,6148813928172;-12,5836609461214;-13,0179523876654;-12,0590071753082;-13,5310546171937;-11,0901960784314;1,60913864483582;-18,9641621880686;-18,2040248402683;-18,182226450689;-13,182226450689;-8,91747912827494;-9,97841415350244;-18,118137254902;-628,042354828191;-308,623674753594;-148,895424836601;-33,9124183006536;-1,78087538064218;-0,813180748362826;-0,310248783087844;-3
1800;"ABBOTT LABORATORIES";"2014";"20140221";-19,2071625409605;-79,1355800657828;-16,4756321185315;-6,20195827893459;-642557557,070821;34,4554625837424;32,0521336805085;35,8076661911091;-13,2525062329713;-13,2536835824134;3,81792475167151;-11,4717082524168;-9,77510442936187;-7,96195368840461;81,5729039169174;-555,45491240852;-720,195827893459;-14,4825353809094;-64,4182210248997;22,065743593072;-8,50749552304415;-18,4555713986552;-22,9285763264026;-11,3244372454911;-54530,6485636856;-11,5226206297974;-11,1048826927771;-169,599066546221;-31,9945799457995;-65,1740179585021;-12,5510315843029;-12,9977234718356;-12,3462390294106;-13,7429164583765;-10,6139716952725;1,63832726088205;-19,2858180607924;-18,5087656108647;-18,4906213430416;-13,4906213430416;-8,60890475399081;-9,64622890243278;-17,8294941282746;-613,441984805271;-300,375939678004;-144,825353809094;-33,3053297199639;-1,78444854303977;-0,487960449434084;-0,49162545796033;-2
1800;"ABBOTT LABORATORIES";"2015";"20150227";-19,1782386221477;-78,9944419865462;-16,8951211246138;-5,84523803272425;-524999296,948054;32,0417107289068;30,154364847284;31,7511192163088;-14,3640163302545;-14,3651996228352;1,87998007063995;-11,9191646517164;-10,0574975047963;-8,09798534257043;79,4476636529474;-547,640935464463;-684,523803272425;-14,2322097378277;-62,4933224156832;20,7746674987386;-8,53223056233597;-18,1571960881555;-22,2181604046587;-10,8209889572239;-19497,1889344569;-11,8032894501271;-11,4136183951398;-166,014606741573;-30,3325842696629;-65,6930443283101;-12,6743934052339;-13,0798656171738;-12,0237617205;-13,2725193110041;-10,7674157303371;1,60795694141307;-18,8605823201364;-18,1059195870795;-18,082916893707;-13,082916893707;-8,7500363711972;-9,76709408766923;-17,1596629213483;-606,159564595709;-319,140947015624;-142,322097378277;-31,3794007490637;-1,82281608440853;3,75508062713817;0,776615761736074;2
1800;"ABBOTT LABORATORIES";"2016";"20160219";-17,3419638743119;-75,1962226127829;-16,0939469642042;-4,60811572839712;-258214671,777661;26,041134833005;25,9886081458744;26,227777665277;-15,8774340086035;-15,8785559169836;0,456553526881518;-12,5782310289125;-10,3882227093859;-7,88639731358382;75,824176465074;-489,681564489568;-560,811572839712;-12,4458380843786;-55,9791891342718;20,0322653028932;-8,42149441908667;-16,6481646986756;-20,4881284825072;-9,28759887374353;-8291,76446978335;-12,5010308333715;-12,1811339167087;-139,119726339795;-26,2143671607754;-62,8756105268343;-12,7760304211322;-13,074578455721;-11,4290037503842;-12,1428394913375;-9,45438996579247;1,59967228464419;-17,7537213031694;-17,0584861113775;-17,0216886895201;-12,0216886895201;-8,56316686064392;-9,47959967410359;-14,2570125427594;-547,803512952649;-343,385209461676;-124,458380843786;-24,8882554161916;-1,90946992257296;1,45169795295015;0,37320077347532;4
1800;"ABBOTT LABORATORIES";"2017";"20170217";-25,8003553972239;-92,3194541271507;-21,7635340354154;-8,72414845046898;-1728294805,74727;33,9299832473182;30,3231011375611;34,7625867680834;-13,5388621751981;-13,540148396336;-5,32475029523322;-12,1367441313861;-10,5677391617279;-9,27065670141839;82,8133794851887;-721,421721158606;-972,414845046898;-20,3811794228356;-77,7517382841632;9,49916860875481;-9,48811587862941;-23,4702275213805;-27,6110900353073;-14,7171577250971;-62374,4530301129;-11,5837228782188;-11,1720951660407;-236,738268506901;-41,9633626097867;-77,8185597501072;-14,4352037181976;-14,8685833576851;-14,4256514555736;-16,8395763965922;-14,5728983688833;1,61235080043278;-21,6324379525886;-20,7353286175698;-20,7404965988385;-15,7404965988385;-10,2355899217163;-11,5373662884334;-24,7332496863237;-775,747169258708;-302,438627300819;-203,811794228356;-46,435382685069;-1,77546002323759;-0,622172792248509;-0,376538387977508;-4
