x
1018724
1800
51143
899051
773840
318154
4962
5272
1166691
320193
732712
12927
14272
1048911
18230
816284
19617
858877
21344
21665
313616
27419
895421
1001039
70858
831001
32604
34088
753308
40533
882095
1045810
40545
45012
886982
354950
875045
50863
200406
1364742
59478
1090727
936468
60667
63908
1099219
64803
789019
66740
37996
320187
72971
927628
797468
1341439
1109357
77476
78003
1163165
764180
909832
80424
804328
36104
1047122
310158
87347
1063761
92122
732717
93410
829224
1065280
97476
100885
101829
731766
104169
1141391
1390777
1413329
1403161
1506307
1467373
1467858
1326801
1326160
1103982
1551152
1754301
1754301
1075531
1613103
1618921
1578845
1666700
1637459
1652044
1633917
1652044
1091667
0
